Time,MQ-2,MQ-3,MQ-136,MQ-137
168450,282.0,548.0,215.0,376.0
169452,282.0,548.0,214.0,375.0
170455,283.0,548.0,213.0,375.0
171457,283.0,550.0,211.0,374.0
172460,284.0,552.0,210.0,373.0
173462,285.0,555.0,208.0,372.0
174465,286.0,557.0,208.0,370.0
175467,288.0,560.0,207.0,369.0
176470,290.0,563.0,207.0,368.0
177472,292.0,567.0,207.0,367.0
178475,293.0,571.0,207.0,366.0
179477,294.0,574.0,207.0,366.0
180480,295.0,576.0,207.0,366.0
